tokenId,tickLower,tickUpper,liquidity
1016824,196970,199770,0
101683,196590,198570,0
1016848,198320,198330,0
101686,196640,197890,0
1016902,197880,198700,0
1016909,197940,198740,0
1016910,197920,198820,0
1016954,-887270,887270,0
1017000,198140,198670,0
1017058,197520,198810,0
1017085,195930,198400,0
101709,196660,198160,0
1017107,196980,200020,0
1017117,196880,198660,0
1017178,197790,198900,0
1017182,197860,198830,0
1017189,-887270,201360,0
1017195,-887270,201360,0
101731,196250,199540,0
101735,197710,197720,0
1017363,198040,198720,0
1017488,353300,354450,0
101757,197290,200820,0
1017577,-887270,887270,0
1017593,197670,198670,0
1017603,198170,198910,0
1017639,197990,198270,0
101764,197210,198610,0
1017648,197040,198570,0
1017663,196770,199360,0
1017713,192890,199130,0
1017749,197710,198610,0
1017805,197500,198600,0
1017833,196770,200310,0
1017856,197820,198720,0
1017868,197480,199080,0
1017871,198290,204240,0
1017873,192640,202540,0
1017875,196870,198360,0
1017876,196130,198630,0
1017902,197910,198710,0
1017910,197020,199950,0
1017915,197870,198770,0
1017952,196960,199770,0
1017961,196950,199760,0
1018005,197840,198740,0
1018012,197870,198860,0
1018015,352310,354230,0
1018029,197400,199130,0
1018030,196960,198470,0
1018063,196960,198470,0
101807,197300,198020,0
1018104,191140,198370,0
1018147,197690,199490,0
101816,197630,197710,0
1018210,-887270,887270,0
101824,191100,203330,0
1018280,197500,199180,0
1018281,197940,198480,0
1018347,198490,199290,0
101840,194540,205420,0
1018531,196440,199690,0
1018630,197310,199360,0
1018660,198090,198530,0
101868,197670,197680,0
1018692,197690,199350,0
1018694,196250,197680,0
1018695,199360,202540,0
1018714,193380,200310,203255970883
1018726,197310,200310,0
1018766,198000,198360,0
1018767,195610,198260,0
1018775,195610,198280,0
101881,196990,198550,0
1018820,200310,202010,0
1018863,197430,199050,0
101887,195810,199830,0
101888,197750,197760,0
1018893,194710,197880,0
1018907,196090,198530,0
1018912,198080,198490,0
1018917,197870,198850,0
1018943,-887270,887270,222703010354
1019021,197170,199030,0
1019034,198420,199990,0
1019074,198080,198500,0
101909,192200,201940,0
1019090,196250,200310,0
1019115,197200,198820,0
1019136,197130,198350,0
101916,197670,197680,0
1019176,197690,198490,0
10192,358040,358080,297698757815726047
1019213,196770,200310,0
101927,197400,198200,0
101929,197260,198090,0
1019337,198490,199360,0
1019401,351820,354570,0
1019420,198280,198700,0
101948,197670,197700,0
1019542,352820,355340,0
1019545,198400,199260,0
1019552,197950,198440,0
101964,197350,197920,0
1019756,-887270,887270,0
1019833,198040,198590,0
1019900,194430,199360,0
1019991,197380,199820,0
1020037,198120,198580,0
102005,197730,197740,0
102011,196040,200060,0
1020115,196260,198910,0
1020168,197690,199360,0
1020172,196950,199020,0
1020340,197490,199070,0
102035,195150,200310,0
1020376,196710,199130,0
1020386,198040,198660,0
102050,197620,197680,0
1020506,196910,199100,0
1020539,197390,199050,0
102057,195610,199820,0
1020636,197370,199110,181622011108645
1020812,197320,201530,0
102083,187310,201340,0
1020846,197760,198760,0
102095,198080,199360,0
1020950,198320,198570,0
1020960,197240,199340,0
1020976,196260,200310,0
1021013,-887270,887270,4051126401635
102103,197790,197820,0
1021113,197180,199670,0
102114,197570,198060,0
1021140,197880,198700,0
102123,196980,199400,0
1021284,197710,198780,0
1021304,197130,198280,0
102136,197680,199360,0
1021364,197960,198160,0
1021440,192200,198720,0
1021463,-887270,887270,4446128469462
1021469,-887270,887270,996336766705
1021474,196710,199530,0
102153,195610,199730,0
1021658,197930,198030,0
1021669,198110,198310,0
1021685,195850,200480,0
1021796,196590,199820,0
102180,197350,197660,0
1021840,197850,198420,0
102187,197110,197690,0
1021870,196600,199820,0
1021892,197200,198970,0
102193,196410,198430,0
102194,196600,200410,0
1022008,197120,199180,0
1022011,198250,198330,0
102206,197350,199490,0
1022092,197030,199230,0
1022108,197690,198690,0
1022118,197860,198470,0
1022133,195980,200250,0
1022142,197500,198740,0
1022244,197860,198470,0
1022247,197970,198170,0
1022433,196600,199820,0
10225,194380,194730,0
1022627,198120,198320,0
102266,196260,199360,0
1022682,196950,198700,0
1022794,197030,199220,0
1022831,-887270,887270,1010207722
1022900,195430,200570,0
102295,197890,198080,0
1022961,191150,199360,0
1022965,198280,198480,0
1022984,196670,199630,0
102303,195030,201630,0
102309,197810,198030,0
1023104,193380,198280,0
1023105,193380,198280,0
1023184,187090,199360,0
